Start playing!
Ep. 159, Ep.Timesteps 1600, Episode Reward: -102.82, Moving Average Reward: -109.51
Ep. 160, Ep.Timesteps 1600, Episode Reward: -102.63, Moving Average Reward: -109.21
Ep. 161, Ep.Timesteps 1600, Episode Reward: -104.18, Moving Average Reward: -108.96
Ep. 162, Ep.Timesteps 131, Episode Reward: -104.40, Moving Average Reward: -108.68
Ep. 163, Ep.Timesteps 130, Episode Reward: -103.95, Moving Average Reward: -108.40
Ep. 164, Ep.Timesteps 1600, Episode Reward: -101.82, Moving Average Reward: -108.12
Ep. 165, Ep.Timesteps 1600, Episode Reward: -102.18, Moving Average Reward: -107.74
Ep. 166, Ep.Timesteps 133, Episode Reward: -104.32, Moving Average Reward: -107.47
Ep. 167, Ep.Timesteps 1600, Episode Reward: -102.09, Moving Average Reward: -107.14
Ep. 168, Ep.Timesteps 1600, Episode Reward: -102.64, Moving Average Reward: -106.87
Ep. 169, Ep.Timesteps 1600, Episode Reward: -102.06, Moving Average Reward: -106.54
Ep. 170, Ep.Timesteps 1600, Episode Reward: -101.23, Moving Average Reward: -106.22
Ep. 171, Ep.Timesteps 1600, Episode Reward: -102.96, Moving Average Reward: -105.96
Ep. 172, Ep.Timesteps 1600, Episode Reward: -101.44, Moving Average Reward: -105.65
Ep. 173, Ep.Timesteps 1600, Episode Reward: -99.82, Moving Average Reward: -105.32
Ep. 174, Ep.Timesteps 1600, Episode Reward: -101.67, Moving Average Reward: -105.00
Ep. 175, Ep.Timesteps 1600, Episode Reward: -100.65, Moving Average Reward: -104.69
Ep. 176, Ep.Timesteps 1600, Episode Reward: -103.58, Moving Average Reward: -104.42
Ep. 177, Ep.Timesteps 1600, Episode Reward: -105.33, Moving Average Reward: -104.36
Ep. 178, Ep.Timesteps 1600, Episode Reward: -103.77, Moving Average Reward: -104.10
Ep. 179, Ep.Timesteps 1600, Episode Reward: -104.63, Moving Average Reward: -103.73
Ep. 180, Ep.Timesteps 1600, Episode Reward: -104.24, Moving Average Reward: -103.45
Ep. 181, Ep.Timesteps 1600, Episode Reward: -103.38, Moving Average Reward: -103.16
Ep. 182, Ep.Timesteps 1600, Episode Reward: -103.68, Moving Average Reward: -103.31
Ep. 183, Ep.Timesteps 1600, Episode Reward: -102.75, Moving Average Reward: -103.27
Ep. 184, Ep.Timesteps 1600, Episode Reward: -102.70, Moving Average Reward: -102.98
Ep. 185, Ep.Timesteps 1600, Episode Reward: -105.91, Moving Average Reward: -103.15
Ep. 186, Ep.Timesteps 1600, Episode Reward: -102.53, Moving Average Reward: -103.23
Ep. 187, Ep.Timesteps 1600, Episode Reward: -105.15, Moving Average Reward: -102.99
Ep. 188, Ep.Timesteps 1600, Episode Reward: -102.19, Moving Average Reward: -103.04
Ep. 189, Ep.Timesteps 1600, Episode Reward: -102.89, Moving Average Reward: -103.04
Ep. 190, Ep.Timesteps 1600, Episode Reward: -101.48, Moving Average Reward: -102.98
Ep. 191, Ep.Timesteps 1600, Episode Reward: -100.80, Moving Average Reward: -102.99
Ep. 192, Ep.Timesteps 1600, Episode Reward: -102.27, Moving Average Reward: -102.96
Ep. 193, Ep.Timesteps 1600, Episode Reward: -102.43, Moving Average Reward: -102.95
Ep. 194, Ep.Timesteps 1600, Episode Reward: -101.81, Moving Average Reward: -102.92
Ep. 195, Ep.Timesteps 1600, Episode Reward: -106.06, Moving Average Reward: -102.97
Ep. 196, Ep.Timesteps 1600, Episode Reward: -102.60, Moving Average Reward: -103.02
Ep. 197, Ep.Timesteps 1600, Episode Reward: -102.57, Moving Average Reward: -103.07
Ep. 198, Ep.Timesteps 1600, Episode Reward: -102.16, Moving Average Reward: -103.06
Ep. 199, Ep.Timesteps 1600, Episode Reward: -102.40, Moving Average Reward: -103.01
Ep. 200, Ep.Timesteps 1600, Episode Reward: -100.64, Moving Average Reward: -102.95
Ep. 201, Ep.Timesteps 1600, Episode Reward: -101.74, Moving Average Reward: -102.94
Ep. 202, Ep.Timesteps 1600, Episode Reward: -102.07, Moving Average Reward: -102.89
Ep. 203, Ep.Timesteps 1600, Episode Reward: -102.37, Moving Average Reward: -102.85
Ep. 204, Ep.Timesteps 1600, Episode Reward: -102.39, Moving Average Reward: -102.86
Ep. 205, Ep.Timesteps 1600, Episode Reward: -101.62, Moving Average Reward: -102.86
Ep. 206, Ep.Timesteps 1600, Episode Reward: -102.76, Moving Average Reward: -102.89
Ep. 207, Ep.Timesteps 1600, Episode Reward: -104.31, Moving Average Reward: -102.80
Ep. 208, Ep.Timesteps 1600, Episode Reward: -103.34, Moving Average Reward: -102.79
Ep. 209, Ep.Timesteps 1600, Episode Reward: -102.22, Moving Average Reward: -102.78
Ep. 210, Ep.Timesteps 1600, Episode Reward: -102.76, Moving Average Reward: -102.78
Ep. 211, Ep.Timesteps 1600, Episode Reward: -101.18, Moving Average Reward: -102.72
Ep. 212, Ep.Timesteps 1600, Episode Reward: -100.66, Moving Average Reward: -102.64
Ep. 213, Ep.Timesteps 1600, Episode Reward: -99.59, Moving Average Reward: -102.56
Ep. 214, Ep.Timesteps 1600, Episode Reward: -101.42, Moving Average Reward: -102.55
Ep. 215, Ep.Timesteps 1600, Episode Reward: -101.92, Moving Average Reward: -102.54
Ep. 216, Ep.Timesteps 1600, Episode Reward: -102.95, Moving Average Reward: -102.52
Ep. 217, Ep.Timesteps 1600, Episode Reward: -99.95, Moving Average Reward: -102.47
Ep. 218, Ep.Timesteps 1600, Episode Reward: -101.78, Moving Average Reward: -102.46
Ep. 219, Ep.Timesteps 1600, Episode Reward: -100.82, Moving Average Reward: -102.43
Ep. 220, Ep.Timesteps 1600, Episode Reward: -103.12, Moving Average Reward: -102.47
Ep. 221, Ep.Timesteps 1600, Episode Reward: -100.05, Moving Average Reward: -102.41
Ep. 222, Ep.Timesteps 1600, Episode Reward: -101.51, Moving Average Reward: -102.41
Ep. 223, Ep.Timesteps 1600, Episode Reward: -102.03, Moving Average Reward: -102.46
Ep. 224, Ep.Timesteps 1600, Episode Reward: -104.37, Moving Average Reward: -102.51
Ep. 225, Ep.Timesteps 1600, Episode Reward: -104.31, Moving Average Reward: -102.58
Ep. 226, Ep.Timesteps 1600, Episode Reward: -106.70, Moving Average Reward: -102.65
Ep. 227, Ep.Timesteps 1600, Episode Reward: -103.30, Moving Average Reward: -102.61
Ep. 228, Ep.Timesteps 1600, Episode Reward: -105.03, Moving Average Reward: -102.63
Ep. 229, Ep.Timesteps 1600, Episode Reward: -104.82, Moving Average Reward: -102.63
Ep. 230, Ep.Timesteps 1600, Episode Reward: -104.45, Moving Average Reward: -102.64
Ep. 231, Ep.Timesteps 1600, Episode Reward: -105.84, Moving Average Reward: -102.69
Ep. 232, Ep.Timesteps 1600, Episode Reward: -105.17, Moving Average Reward: -102.72
Ep. 233, Ep.Timesteps 1600, Episode Reward: -105.30, Moving Average Reward: -102.77
Ep. 234, Ep.Timesteps 1600, Episode Reward: -104.47, Moving Average Reward: -102.80
Ep. 235, Ep.Timesteps 1600, Episode Reward: -103.76, Moving Average Reward: -102.76
Ep. 236, Ep.Timesteps 1600, Episode Reward: -105.86, Moving Average Reward: -102.83
Ep. 237, Ep.Timesteps 1600, Episode Reward: -104.46, Moving Average Reward: -102.81
Ep. 238, Ep.Timesteps 1600, Episode Reward: -105.71, Moving Average Reward: -102.88
Ep. 239, Ep.Timesteps 1600, Episode Reward: -105.00, Moving Average Reward: -102.93
Ep. 240, Ep.Timesteps 1600, Episode Reward: -103.29, Moving Average Reward: -102.96
Ep. 241, Ep.Timesteps 1600, Episode Reward: -104.89, Moving Average Reward: -103.04
Ep. 242, Ep.Timesteps 1600, Episode Reward: -103.51, Moving Average Reward: -103.07
Ep. 243, Ep.Timesteps 1600, Episode Reward: -103.12, Moving Average Reward: -103.08
Ep. 244, Ep.Timesteps 1600, Episode Reward: -101.26, Moving Average Reward: -103.07
Ep. 245, Ep.Timesteps 1600, Episode Reward: -103.84, Moving Average Reward: -103.03
Ep. 246, Ep.Timesteps 1600, Episode Reward: -103.40, Moving Average Reward: -103.04
Ep. 247, Ep.Timesteps 1600, Episode Reward: -104.68, Moving Average Reward: -103.09
Ep. 248, Ep.Timesteps 1600, Episode Reward: -105.72, Moving Average Reward: -103.16
Ep. 249, Ep.Timesteps 1600, Episode Reward: -103.78, Moving Average Reward: -103.19
Ep. 250, Ep.Timesteps 1600, Episode Reward: -105.31, Moving Average Reward: -103.28
Ep. 251, Ep.Timesteps 1600, Episode Reward: -105.12, Moving Average Reward: -103.35
Ep. 252, Ep.Timesteps 1600, Episode Reward: -104.59, Moving Average Reward: -103.40
Ep. 253, Ep.Timesteps 1600, Episode Reward: -105.58, Moving Average Reward: -103.46
Ep. 254, Ep.Timesteps 1600, Episode Reward: -106.83, Moving Average Reward: -103.55
Ep. 255, Ep.Timesteps 1600, Episode Reward: -106.94, Moving Average Reward: -103.66
Ep. 256, Ep.Timesteps 1600, Episode Reward: -105.51, Moving Average Reward: -103.71
Ep. 257, Ep.Timesteps 1600, Episode Reward: -106.01, Moving Average Reward: -103.74
Ep. 258, Ep.Timesteps 1600, Episode Reward: -105.82, Moving Average Reward: -103.79
Ep. 259, Ep.Timesteps 1600, Episode Reward: -103.45, Moving Average Reward: -103.82
Ep. 260, Ep.Timesteps 1600, Episode Reward: -104.40, Moving Average Reward: -103.85
Ep. 261, Ep.Timesteps 1600, Episode Reward: -103.63, Moving Average Reward: -103.90
Ep. 262, Ep.Timesteps 1600, Episode Reward: -105.68, Moving Average Reward: -104.00
Ep. 263, Ep.Timesteps 1600, Episode Reward: -108.00, Moving Average Reward: -104.17
Ep. 264, Ep.Timesteps 1600, Episode Reward: -104.41, Moving Average Reward: -104.23
Ep. 265, Ep.Timesteps 1600, Episode Reward: -105.07, Moving Average Reward: -104.29
Ep. 266, Ep.Timesteps 1600, Episode Reward: -102.58, Moving Average Reward: -104.29
Ep. 267, Ep.Timesteps 1600, Episode Reward: -102.93, Moving Average Reward: -104.34
Ep. 268, Ep.Timesteps 1600, Episode Reward: -102.34, Moving Average Reward: -104.36
Ep. 269, Ep.Timesteps 1600, Episode Reward: -100.87, Moving Average Reward: -104.36
Ep. 270, Ep.Timesteps 1600, Episode Reward: -100.25, Moving Average Reward: -104.30
Ep. 271, Ep.Timesteps 1600, Episode Reward: -100.14, Moving Average Reward: -104.30
Ep. 272, Ep.Timesteps 1600, Episode Reward: -101.85, Moving Average Reward: -104.31
Ep. 273, Ep.Timesteps 1600, Episode Reward: -99.91, Moving Average Reward: -104.27
Ep. 274, Ep.Timesteps 1600, Episode Reward: -100.94, Moving Average Reward: -104.20
Ep. 275, Ep.Timesteps 1600, Episode Reward: -98.60, Moving Average Reward: -104.08
Ep. 276, Ep.Timesteps 1600, Episode Reward: -98.27, Moving Average Reward: -103.91
