Start playing!
Ep. 150, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 151, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 152, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 153, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 154, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 155, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 156, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 157, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 158, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 159, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 160, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 161, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 162, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 163, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 164, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 165, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 166, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 167, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 168, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 169, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 170, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 171, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 172, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 173, Ep.Timesteps 100, Episode Reward: -98.00, Moving Average Reward: -99.90
Ep. 174, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 175, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 176, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 177, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 178, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 179, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
