time/time_elapsed,train/critic_loss,train/learning_rate,train/actor_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate
265,0.25783026531338693,0.001,-33.25254384994507,91,244,-97.13,24200,24400,100.0,0.02
269,0.312800629734993,0.001,-33.31267827987671,91,248,-97.21,24600,24800,100.0,0.02
274,0.3381533798575401,0.001,-33.40670114517212,91,252,-97.21,25000,25200,100.0,0.02
278,0.3229892127215862,0.001,-33.772546730041505,91,256,-97.22,25400,25600,100.0,0.02
282,0.35291008934378626,0.001,-34.50951335906982,91,260,-97.15,25800,26000,100.0,0.02
286,0.29198840096592904,0.001,-34.548910522460936,92,264,-97.11,26200,26400,100.0,0.02
291,0.27421076104044917,0.001,-34.31017303466797,92,268,-97.07,26600,26800,100.0,0.02
295,0.3157304407656193,0.001,-34.350784397125246,92,272,-96.06,27000,27200,100.0,0.03
299,0.25268512457609177,0.001,-34.97988433837891,92,276,-96.06,27400,27600,100.0,0.03
303,0.2622832261025906,0.001,-35.09982681274414,92,280,-95.06,27800,28000,100.0,0.04
308,0.24658224128186704,0.001,-35.3426432800293,92,284,-93.77,28200,28400,100.0,0.05
312,0.25550582267343996,0.001,-34.87507308959961,92,288,-91.47,28600,28800,100.0,0.08
316,0.2539423145353794,0.001,-34.891265544891354,92,292,-89.58,29000,29200,100.0,0.1
320,0.3027540622651577,0.001,-34.73347887039185,92,296,-88.84,29400,29600,100.0,0.11
324,0.29919870644807817,0.001,-35.48914413452148,92,300,-88.84,29800,30000,100.0,0.11
328,0.27150614134967327,0.001,-34.60618915557861,92,304,-87.47,30200,30400,100.0,0.12
332,0.27558922082185744,0.001,-34.914704418182374,92,308,-86.42,30600,30800,100.0,0.13
337,0.21336866155266762,0.001,-34.99292379379273,92,312,-84.48,31000,31200,100.0,0.15
341,0.25742010347545147,0.001,-34.74915843963623,92,316,-83.61,31400,31600,100.0,0.15
345,0.24694875963032245,0.001,-34.45368743896484,92,320,-83.98,31800,32000,100.0,0.15
350,0.27325578942894935,0.001,-35.07959930419922,92,324,-82.98,32200,32400,100.0,0.16
354,0.241905617415905,0.001,-35.21737482070923,92,328,-82.0,32600,32800,100.0,0.17
358,0.2648891307413578,0.001,-34.999625244140624,92,332,-81.03,33000,33200,100.0,0.18
362,0.2483793467283249,0.001,-34.37730466842651,92,336,-80.43,33400,33600,100.0,0.19
366,0.26624350875616076,0.001,-34.66115642547607,92,340,-80.38,33800,34000,100.0,0.19
371,0.23191928707063197,0.001,-34.61665967941284,92,344,-79.34,34200,34400,100.0,0.2
375,0.23326067604124545,0.001,-34.5841350364685,92,348,-78.83,34600,34800,100.0,0.2
379,0.21803913332521915,0.001,-34.673868331909176,92,352,-78.74,35000,35200,100.0,0.2
383,0.2351270668208599,0.001,-34.82220203399658,92,356,-77.72,35400,35600,100.0,0.21
387,0.23812673166394233,0.001,-34.688441848754884,92,360,-76.8,35800,36000,100.0,0.22
392,0.24736469194293023,0.001,-34.99630939483642,92,364,-75.92,36200,36400,100.0,0.23
